Desc	Family ID	human	chimp	orang	baboon	gibbon	macaque	marmoset	rat	mouse	cat	horse	cow
(null)	1	494	475	475	458	459	432	422	371	455	342	375	351
(null)	2	103	60	42	50	49	38	80	428	365	133	219	231
(null)	3	171	69	77	70	36	69	82	277	262	185	246	226
(null)	4	1	1	1	1	2	3	0	34	6	0	955	0
(null)	5	57	49	44	43	25	42	68	140	137	116	129	144
(null)	6	59	35	24	35	18	37	36	171	160	77	99	115
(null)	7	39	28	34	16	17	14	24	164	127	95	119	122
(null)	9	122	13	48	92	14	92	18	120	111	41	55	13
(null)	14	120	10	37	35	12	36	68	97	117	32	4	10
(null)	15	1	3	2	0	14	47	0	39	8	0	459	1
(null)	17	354	21	21	30	16	25	8	15	15	12	17	37
(null)	25	69	30	145	15	51	75	86	0	3	0	0	0
(null)	49	52	22	22	12	9	7	4	35	107	3	6	25
(null)	55	7	5	7	5	7	6	5	91	135	7	7	4
(null)	60	3	2	2	2	1	0	3	59	143	16	16	18
(null)	129	0	0	0	0	0	0	0	22	122	0	0	0
