ErrorModel	Score
0.4	162576.628503
0.4	166462.116642
0.2	148487.316800
0.1	145776.419850
0.05	147792.113653
0.125	145844.837758
0.0875	145960.422682
0.10625	145743.199198
0.115625	145758.495205
0.053125	147541.731451
0.084375	146033.486212
0.0921875	145871.878264
0.10390625	145751.384434
0.109765625	145740.147917
0.1126953125	145745.745599
0.0548828125	147410.677977
0.0837890625	146048.477903
0.0982421875	145792.494210
0.10546875	145745.371527
0.10908203125	145739.899086
0.110888671875	145741.431870
0.054541015625	147435.615313
0.08271484375	146077.074291
