Family ID	mouse<22>	<21>	baboon<16>	marmoset<18>	cat<0>	gibbon<12>	chimp<6>	<11>	orang<10>	horse<2>	<13>	macaque<14>	<17>	human<8>	<15>	<9>	cow<4>	<3>	<1>	<7>	<5>	rat<20>
8	61	62	62	66	59	63	61	63	61	62	63	64	64	66	63	63	63	62	62	63	62	63
10	52	53	57	56	57	54	55	54	54	55	55	56	55	52	56	54	54	55	55	54	55	53
11	79	69	39	37	37	45	51	45	41	41	43	36	42	76	39	45	49	44	44	53	46	67
12	52	53	48	48	51	46	49	48	48	47	48	49	48	50	48	48	55	50	50	49	50	55
13	58	58	53	46	51	44	43	45	47	50	46	47	47	43	49	45	55	51	51	43	51	59
16	70	71	44	33	43	31	40	41	43	49	41	46	40	43	44	41	50	48	48	41	48	79
18	49	48	46	46	45	46	46	47	50	44	47	47	47	45	47	47	48	46	46	46	46	48
19	44	44	42	50	44	45	41	44	44	42	44	46	45	44	44	44	44	44	44	43	44	44
20	39	43	44	46	48	44	47	44	45	46	44	37	45	40	42	44	45	46	46	44	46	46
21	36	36	43	83	40	30	33	35	36	42	40	40	49	33	41	35	39	42	42	33	43	34
22	41	40	41	43	42	42	38	40	42	43	40	38	41	36	40	40	40	41	41	38	41	38
23	61	52	37	37	33	34	33	36	36	41	36	35	37	39	36	36	46	40	40	36	40	48
24	40	39	37	46	42	36	37	38	37	37	39	46	41	41	40	38	42	40	40	38	40	37
26	65	58	35	36	37	33	31	33	33	36	33	27	35	35	32	33	40	38	38	33	39	56
27	33	36	38	38	41	38	37	38	41	37	38	41	38	33	39	38	39	38	38	36	38	38
28	37	35	34	39	35	30	33	35	36	30	35	34	36	78	34	36	31	33	33	39	34	33
29	27	28	42	65	32	30	31	34	32	31	37	35	41	39	38	34	29	32	32	34	33	27
30	62	68	12	18	33	6	15	13	13	72	14	15	19	23	14	13	58	48	48	15	44	84
31	31	33	33	37	35	37	34	34	34	33	34	35	35	29	34	34	36	34	34	33	34	34
