Species	Expanded fams	Genes gained	genes/expansion	Contracted fams	Genes lost	genes/contraction	No change	Avg. Expansion
Mouse	829 (44)	1354	1.63	847 (26)	1000	1.18	10977	0.0279776
Baboon	316 (40)	410	1.3	1140 (66)	1238	1.09	11197	-0.065439
Marmoset	1187 (103)	2113	1.78	1834 (15)	1921	1.05	9632	0.0151743
Cat	725 (24)	1186	1.64	878 (14)	1094	1.25	11050	0.007271
Gibbon	423 (11)	533	1.26	1902 (84)	2168	1.14	10328	-0.129218
Chimp	263 (46)	304	1.16	1301 (57)	1461	1.12	11089	-0.0914408
Orang	892 (79)	1180	1.32	1396 (7)	1422	1.02	10365	-0.0191259
Horse	395 (19)	671	1.7	969 (11)	1149	1.19	11289	-0.0377776
Macaque	1412 (256)	2080	1.47	1327 (41)	1449	1.09	9914	0.0498696
Human	1242 (347)	2764	2.23	1299 (24)	1374	1.06	10112	0.109855
Cow	628 (34)	1188	1.89	681 (5)	770	1.13	11344	0.0330356
Rat	926 (50)	1403	1.52	603 (20)	716	1.19	11124	0.0542954
